Agency Name,Complaint Type,Descriptor,Incident Zip,City,Community Board,Borough
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,11373,Elmhurst,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11418,Richmond Hill,09 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11217,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10022,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11230,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10459,BRONX,02 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11210,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11373,Elmhurst,04 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10030,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11216,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,RADIATOR,10030,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11233,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11230,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11423,Hollis,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11222,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11201,BROOKLYN,06 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11433,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,ELECTRIC,LIGHTING,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11234,BROOKLYN,18 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10036,NEW YORK,04 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,10029,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11238,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11226,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,NONCONST,VERMIN,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10030,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10312,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,11216,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10030,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10014,NEW YORK,02 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11369,East Elmhurst,03 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11210,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,11434,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10453,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11365,Fresh Meadows,08 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11373,Elmhurst,04 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10461,BRONX,10 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10473,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,11249,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11354,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,TOILET,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10036,NEW YORK,04 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11412,Saint Albans,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10470,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11433,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10470,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11373,Elmhurst,04 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10460,BRONX,03 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,SEWER,10302,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,01 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10128,NEW YORK,08 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,11433,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11377,Woodside,03 QUEENS,QUEENS
Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,11226,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11372,Jackson Heights,03 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11104,Sunnyside,02 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10035,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10453,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10027,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10471,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10032,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,10030,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10304,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,NONCONST,RUBBISH,11235,BROOKLYN,13 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11222,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,SHOWER-STALL,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11216,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11207,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,SEWER,11238,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11373,Elmhurst,04 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11211,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11219,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10009,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,PAINT/PLASTER,WALL,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10461,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10470,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,RADIATOR,11368,Corona,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10303,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10304,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,RADIATOR,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11216,BROOKLYN,Unspecified BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,10032,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11221,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11216,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10469,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11235,BROOKLYN,13 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11369,East Elmhurst,03 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11379,Middle Village,05 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10474,BRONX,02 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11216,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10303,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,NONCONST,VERMIN,11374,Rego Park,06 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10454,BRONX,01 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10031,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10460,BRONX,03 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10031,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10473,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10014,NEW YORK,02 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11103,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,NONCONST,RUBBISH,10459,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10030,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10035,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,NONCONST,RUBBISH,10035,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,TOILET,10467,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11230,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,NONCONST,VERMIN,11230,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11234,BROOKLYN,18 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11220,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11216,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11374,Rego Park,06 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11216,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10009,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10305,STATEN ISLAND,02 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,10022,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,10312,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,11238,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10022,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,LIGHTING,11212,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11234,BROOKLYN,18 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11374,Rego Park,06 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10024,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,BATHTUB,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11434,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11102,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11220,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,NONCONST,VERMIN,10469,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10003,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Rodent,Rat Sighting,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11216,BROOKLYN,08 BROOKLYN,BROOKLYN
