Agency,Business Title,Civil Service Title,Level,Division/Work Unit
DEPT OF INFO TECH & TELECOMM,Technical Architect Support Intern,COLLEGE AIDE (ALL CITY DEPTS),02,IT Svcs/Data Center Planning
NYC HOUSING AUTHORITY,Project Manager,ADMINISTRATIVE ENGINEER,M2,Cap Proj Manhattan
NYC HOUSING AUTHORITY,Project Manager,ADMINISTRATIVE ENGINEER,M2,Cap Proj Manhattan
DEPARTMENT OF FINANCE,Senior Software Developer,COMPUTER SYSTEMS MANAGER,M2,Parking&Payments Applications
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Dept of Environment Protection
DEPT OF HEALTH/MENTAL HYGIENE,Field Supervisor,ASSOCIATE PUBLIC HEALTH SANITA,01,Food Safety & Community Sanit
DEPT OF HEALTH/MENTAL HYGIENE,Field Supervisor,ASSOCIATE PUBLIC HEALTH SANITA,01,Food Safety & Community Sanit
DEPT OF INFO TECH & TELECOMM,Senior Project Manager,COMPUTER SYSTEMS MANAGER,M1,Project Mgmt Services
DEPT OF HEALTH/MENTAL HYGIENE,Development Coordinator,ADMINISTRATIVE STAFF ANALYST (,00,Lead Poisoning
DEPT OF HEALTH/MENTAL HYGIENE,Development Coordinator,ADMINISTRATIVE STAFF ANALYST (,00,Lead Poisoning
OFFICE OF MANAGEMENT & BUDGET,Budget Analyst - TAX1402,BUDGET ANALYST (OMB),01,Revenue/Economic Anal
DEPT OF DESIGN & CONSTRUCTION,Administrative Project Manager,ADMINISTRATIVE PROJECT MANAGER,M1,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Project Manager/Sr. Project Manager,ASSOCIATE URBAN DESIGNER,03,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Project Manager/Sr. Project Manager,ASSOCIATE URBAN DESIGNER,03,Pub Bldgs/Various
DEPT OF HEALTH/MENTAL HYGIENE,Business Systems Analyst,ADMINISTRATIVE STAFF ANALYST (,00,MHy Admin - Contracts/Finance
DEPT OF INFO TECH & TELECOMM,ECTP Test Manager,COMPUTER SYSTEMS MANAGER,M1,ECTP
DEPT OF INFO TECH & TELECOMM,ECTP Test Manager,COMPUTER SYSTEMS MANAGER,M1,ECTP
DEPT OF HEALTH/MENTAL HYGIENE,Business Systems Analyst,ADMINISTRATIVE STAFF ANALYST (,00,MHy Admin - Contracts/Finance
ADMIN FOR CHILDREN'S SVCS,Assistant Director,ADMINISTRATIVE STAFF ANALYST (,00,Dpty Comm Fnancl Svcs-Finance
ADMIN FOR CHILDREN'S SVCS,Assistant Director,ADMINISTRATIVE STAFF ANALYST (,00,Dpty Comm Fnancl Svcs-Finance
DEPT OF INFO TECH & TELECOMM,Technical Budget Associate,COMPUTER ASSOC (TECH SUPP),01,Financial Services
DEPT OF INFO TECH & TELECOMM,Technical Budget Associate,COMPUTER ASSOC (TECH SUPP),01,Financial Services
CONSUMER AFFAIRS,"Deputy Director, Legal Division",EXECUTIVE AGENCY COUNSEL,M1,Legal Compliance & Fitness Div
CONSUMER AFFAIRS,"Deputy Director, Legal Division",EXECUTIVE AGENCY COUNSEL,M1,Legal Compliance & Fitness Div
OFFICE OF MANAGEMENT & BUDGET,Budget Analyst - TAX1402,BUDGET ANALYST (OMB),01,Revenue/Economic Anal
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,JOCS- IFA
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,JOCS- IFA
DEPT OF HEALTH/MENTAL HYGIENE,"Budget Unit /College Aide, Freshman - Sophomore",COLLEGE AIDE (ALL CITY DEPTS),01,Budget Administration
DEPT OF HEALTH/MENTAL HYGIENE,HAN Coordinator,COMPUTER SYSTEMS MANAGER,M1,IT Solutions and Delivery
DEPT OF HEALTH/MENTAL HYGIENE,HAN Coordinator,COMPUTER SYSTEMS MANAGER,M1,IT Solutions and Delivery
ADMIN FOR CHILDREN'S SVCS,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Office Of The Commissioner(Cr)
ADMIN FOR CHILDREN'S SVCS,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Office Of The Commissioner(Cr)
DEPT OF HEALTH/MENTAL HYGIENE,"Budget Unit /College Aide, Freshman - Sophomore",COLLEGE AIDE (ALL CITY DEPTS),01,Budget Administration
DEPT OF YOUTH & COMM DEV SRVS,Budget Review Specialist,ASSOCIATE CONTRACT SPECIALIST,00,Budget Review & Risk Manageme
DEPT OF YOUTH & COMM DEV SRVS,Budget Review Specialist,ASSOCIATE CONTRACT SPECIALIST,00,Budget Review & Risk Manageme
DEPT OF HEALTH/MENTAL HYGIENE,Scientist,SCIENTIST (RADIATION CONTROL),02,Radiation Equipment
DEPT OF HEALTH/MENTAL HYGIENE,Scientist,SCIENTIST (RADIATION CONTROL),02,Radiation Equipment
ADMIN TRIALS AND HEARINGS,Staff Analyst Trainee,STAFF ANALYST TRAINEE,00,Health Tribunal-Manhattan
ADMIN TRIALS AND HEARINGS,Staff Analyst Trainee,STAFF ANALYST TRAINEE,00,Health Tribunal-Manhattan
DEPARTMENT OF FINANCE,Senior Property Valuation Modeler,ADMINISTRATIVE STAFF ANALYST (,00,Property Modeling Group
DEPARTMENT OF FINANCE,Senior Property Valuation Modeler,ADMINISTRATIVE STAFF ANALYST (,00,Property Modeling Group
DEPT OF HEALTH/MENTAL HYGIENE,Computer Systems Manager,COMPUTER SYSTEMS MANAGER,M1,Immunization Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,"Section Chief, Environmental Sciences and Engineering",CITY RESEARCH SCIENTIST,03,Public Health Engineering
DEPT OF HEALTH/MENTAL HYGIENE,"Section Chief, Environmental Sciences and Engineering",CITY RESEARCH SCIENTIST,03,Public Health Engineering
DEPARTMENT OF CITY PLANNING,BROOKLYN OFFICE ASSISTANT URBAN DESIGNER,ASSISTANT URBAN DESIGNER,00,Brooklyn Office
DEPT OF HEALTH/MENTAL HYGIENE,Computer Systems Manager,COMPUTER SYSTEMS MANAGER,M1,Immunization Surveillance
DEPT OF ENVIRONMENT PROTECTION,Asset Assessment Leader,ADMINISTRATIVE PROJECT MANAGER,M1,Water Supply/Mgmt Support
DEPT OF ENVIRONMENT PROTECTION,Asset Assessment Leader,ADMINISTRATIVE PROJECT MANAGER,M1,Water Supply/Mgmt Support
DEPT OF INFO TECH & TELECOMM,Java Developer,COMPUTER SPECIALIST (SOFTWARE),03,Enterprise APP Services
DEPARTMENT OF CITY PLANNING,BROOKLYN OFFICE ASSISTANT URBAN DESIGNER,ASSISTANT URBAN DESIGNER,00,Brooklyn Office
DEPARTMENT OF BUILDINGS,Construction Inspector,INSPECTOR (CONSTRUCTION),00,Citywide
DEPARTMENT OF BUILDINGS,Construction Inspector,INSPECTOR (CONSTRUCTION),00,Citywide
DEPARTMENT OF BUILDINGS,Electrical Inspector,INSPECTOR (ELECTRICAL FOR PAYR,00,Citywide
DEPARTMENT OF BUILDINGS,Electrical Inspector,INSPECTOR (ELECTRICAL FOR PAYR,00,Citywide
DEPT OF INFO TECH & TELECOMM,Java Developer,COMPUTER SPECIALIST (SOFTWARE),03,Enterprise APP Services
DEPT OF INFO TECH & TELECOMM,ECTP Project Manager,COMPUTER SYSTEMS MANAGER,M1,ECTP
DEPARTMENT OF BUILDINGS,Plumbing Inspector,INSPECTOR (PLUMBING),00,Citywide
DEPARTMENT OF BUILDINGS,Plumbing Inspector,INSPECTOR (PLUMBING),00,Citywide
CONFLICTS OF INTEREST BOARD,Deputy General Counsel,EXECUTIVE AGENCY COUNSEL,M2,Conflicts of Interest Board
CONFLICTS OF INTEREST BOARD,Deputy General Counsel,EXECUTIVE AGENCY COUNSEL,M2,Conflicts of Interest Board
DEPT OF INFO TECH & TELECOMM,ECTP Project Manager,COMPUTER SYSTEMS MANAGER,M1,ECTP
DEPT OF CITYWIDE ADMIN SVCS,Construction Project Manager for Elevator Projects,CONSTRUCTION PROJECT MANAGER,03,Asset Mgmt/Elevator Svcs
DEPT OF CITYWIDE ADMIN SVCS,Construction Project Manager for Elevator Projects,CONSTRUCTION PROJECT MANAGER,03,Asset Mgmt/Elevator Svcs
DEPT OF DESIGN & CONSTRUCTION,Analyst,PRINCIPAL ADMINISTRATIVE ASSOC,01,Office of The Commissioner
DEPT OF DESIGN & CONSTRUCTION,Analyst,PRINCIPAL ADMINISTRATIVE ASSOC,01,Office of The Commissioner
DEPT OF INFO TECH & TELECOMM,SharePoint Architect,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs/Data Mgmt & Protection
DEPT OF INFO TECH & TELECOMM,SharePoint Architect,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs/Data Mgmt & Protection
DEPT OF HEALTH/MENTAL HYGIENE,Contract Analyst,PROCUREMENT ANALYST,03,HIV/AIDS Administration
DEPT OF INFO TECH & TELECOMM,Communications Systems Programmer (Mainframe),COMPUTER SPECIALIST (SOFTWARE),01,IT Svcs/Telecom & Network Opr
DEPARTMENT OF BUILDINGS,Inspector,INSPECTOR (ELEVATORS),00,Construction Safety/Elevators
DEPARTMENT OF BUILDINGS,Inspector,INSPECTOR (ELEVATORS),00,Construction Safety/Elevators
DEPARTMENT OF SANITATION,COMPUTER SYSTEMS MANAGER,COMPUTER SYSTEMS MANAGER,M4,Mgt Info Syst Office
DEPARTMENT OF SANITATION,COMPUTER SYSTEMS MANAGER,COMPUTER SYSTEMS MANAGER,M4,Mgt Info Syst Office
DEPT OF INFO TECH & TELECOMM,Communications Systems Programmer (Mainframe),COMPUTER SPECIALIST (SOFTWARE),01,IT Svcs/Telecom & Network Opr
OFFICE OF MANAGEMENT & BUDGET,Budget Analyst - Social Services Task Force,BUDGET ANALYST (OMB),01,Social Services
OFFICE OF MANAGEMENT & BUDGET,Budget Analyst - Social Services Task Force,BUDGET ANALYST (OMB),01,Social Services
DEPT OF ENVIRONMENT PROTECTION,Stationary Engineer (Electric),STATIONARY ENGINEER (ELECTRIC),00,New Clove Pump Sta Cty Opr R
DEPT OF ENVIRONMENT PROTECTION,Stationary Engineer (Electric),STATIONARY ENGINEER (ELECTRIC),00,New Clove Pump Sta Cty Opr R
CONSUMER AFFAIRS,Inspector,INSPECTOR (CONSUMER AFFAIRS),01,Manhattan/SI Enforcement
CONSUMER AFFAIRS,Inspector,INSPECTOR (CONSUMER AFFAIRS),01,Manhattan/SI Enforcement
DEPT OF DESIGN & CONSTRUCTION,Deputy Program  Director,ADMINISTRATIVE ARCHITECT,M1,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Deputy Program  Director,ADMINISTRATIVE ARCHITECT,M1,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Deputy Program Director,ADMINISTRATIVE ENGINEER,M1,Pub Bldgs/Various
DEPT OF INFO TECH & TELECOMM,Assistant Project Manager,ADM MANAGER-NON-MGRL FRM M1/M2,00,Enterprise APP Services
DEPT OF INFO TECH & TELECOMM,Assistant Project Manager,ADM MANAGER-NON-MGRL FRM M1/M2,00,Enterprise APP Services
DEPARTMENT OF BUILDINGS,Build It Back Construction Inspector,INSPECTOR (CONSTRUCTION),00,Citywide
DEPT OF DESIGN & CONSTRUCTION,Deputy Program Director,ADMINISTRATIVE ENGINEER,M1,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Deputy Program Director,ADMINISTRATIVE PROJECT MANAGER,M1,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Deputy Program Director,ADMINISTRATIVE PROJECT MANAGER,M1,Pub Bldgs/Various
DEPT OF ENVIRONMENT PROTECTION,Fixed Asset Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Capital Budget Management
DEPT OF ENVIRONMENT PROTECTION,Fixed Asset Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Capital Budget Management
DEPARTMENT OF BUILDINGS,Build It Back Construction Inspector,INSPECTOR (CONSTRUCTION),00,Citywide
DEPT OF HEALTH/MENTAL HYGIENE,Contract Manager,ADMINISTRATIVE STAFF ANALYST (,00,Acco/Contracts
DEPT OF HEALTH/MENTAL HYGIENE,Contract Manager,ADMINISTRATIVE STAFF ANALYST (,00,Acco/Contracts
DEPT OF ENVIRONMENT PROTECTION,Supervisor Watershed Maintenance III,SUPERVISOR (WATERSHED MAINTENA,03,Bronx North South Yard Reser
DEPT OF ENVIRONMENT PROTECTION,Supervisor Watershed Maintenance III,SUPERVISOR (WATERSHED MAINTENA,03,Bronx North South Yard Reser
DEPT OF CITYWIDE ADMIN SVCS,Chief Consulting Psychologist for Examinations,SPECIAL EXAMINER (DCAS),00,Executive (Exams)
DEPT OF CITYWIDE ADMIN SVCS,Chief Consulting Psychologist for Examinations,SPECIAL EXAMINER (DCAS),00,Executive (Exams)
DEPT OF HEALTH/MENTAL HYGIENE,Discharge Planner,SOCIAL WORKER,00,CHS Discharge Planning
DEPT OF HEALTH/MENTAL HYGIENE,Discharge Planner,SOCIAL WORKER,00,CHS Discharge Planning
DEPT OF DESIGN & CONSTRUCTION,Design Engineer,ENGINEERING TECHNICIAN,03,Infra-Design 1-Executive
DEPT OF HEALTH/MENTAL HYGIENE,Deputy Commissioner for Epidemiology-Administration,HEALTH SERVICES MANAGER,M5,EPI Division Admin
DEPT OF HEALTH/MENTAL HYGIENE,Deputy Commissioner for Epidemiology-Administration,HEALTH SERVICES MANAGER,M5,EPI Division Admin
DEPT OF HEALTH/MENTAL HYGIENE,Early Intervention Official Designee,SR HEALTHCARE PROG PLAN ANLYST,01,Early Intervention
DEPT OF HEALTH/MENTAL HYGIENE,Early Intervention Official Designee,SR HEALTHCARE PROG PLAN ANLYST,01,Early Intervention
HOUSING PRESERVATION & DVLPMNT,Spatial Application Web Developer,COMPUTER SPECIALIST (SOFTWARE),02,Technology & Strategic Develop
HOUSING PRESERVATION & DVLPMNT,Spatial Application Web Developer,COMPUTER SPECIALIST (SOFTWARE),02,Technology & Strategic Develop
DEPT OF DESIGN & CONSTRUCTION,Design Engineer,ENGINEERING TECHNICIAN,03,Infra-Design 1-Executive
TAXI & LIMOUSINE COMMISSION,Research Aide - College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Enforcement Admin
TAXI & LIMOUSINE COMMISSION,Research Aide - College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Enforcement Admin
DEPT OF HEALTH/MENTAL HYGIENE,Budget Processing Supervisor,ADMINISTRATIVE STAFF ANALYST (,00,Budget Administration
DEPT OF ENVIRONMENT PROTECTION,HVAC/PFP Design Lead,ADMINISTRATIVE ENGINEER,M2,Mechanical Section Plants
DEPT OF ENVIRONMENT PROTECTION,HVAC/PFP Design Lead,ADMINISTRATIVE ENGINEER,M2,Mechanical Section Plants
LAW DEPARTMENT,Assistant City Assessor,ASSISTANT CITY ASSESSOR,02,Tax & Bankruptcy LIT Div (FT)
LAW DEPARTMENT,Assistant City Assessor,ASSISTANT CITY ASSESSOR,02,Tax & Bankruptcy LIT Div (FT)
CIVILIAN COMPLAINT REVIEW BD,Investigator,INVESTIGATOR (CCRB),01,Civilian Complaint Review Bd
DEPT OF HEALTH/MENTAL HYGIENE,Budget Processing Supervisor,ADMINISTRATIVE STAFF ANALYST (,00,Budget Administration
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Construction/Administration
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Construction/Administration
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Capital Planning Development
CIVILIAN COMPLAINT REVIEW BD,Investigator,INVESTIGATOR (CCRB),01,Civilian Complaint Review Bd
ADMIN FOR CHILDREN'S SVCS,Senior Analyst,ADMINISTRATIVE STAFF ANALYST (,00,SRM: Elig/Rpt/Sys Spprt-P&P
ADMIN FOR CHILDREN'S SVCS,Senior Analyst,ADMINISTRATIVE STAFF ANALYST (,00,SRM: Elig/Rpt/Sys Spprt-P&P
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Capital Planning Development
DEPT OF INFO TECH & TELECOMM,Documentum Support Engineer,COMPUTER SPECIALIST (SOFTWARE),03,Enterprise APP Services
DEPT OF INFO TECH & TELECOMM,Documentum Support Engineer,COMPUTER SPECIALIST (SOFTWARE),03,Enterprise APP Services
DEPT OF DESIGN & CONSTRUCTION,Administrative Project Manager,ADMINISTRATIVE PROJECT MANAGER,M1,Pub Bldgs/Various
DEPT OF HEALTH/MENTAL HYGIENE,Public Health Advisor,PUBLIC HEALTH ADVISER,02,Immunization Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,Public Health Advisor,PUBLIC HEALTH ADVISER,02,Immunization Surveillance
FINANCIAL INFO SVCS AGENCY,UNIX ADMINISTRATOR,COMPUTER SYSTEMS MANAGER,M1,Timekeeping Technical Services
FINANCIAL INFO SVCS AGENCY,UNIX ADMINISTRATOR,COMPUTER SYSTEMS MANAGER,M1,Timekeeping Technical Services
DEPT OF INFO TECH & TELECOMM,Desktop Support Engineer (FJC),COMPUTER SERVICE TECHNICIAN (C,01,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Edge Security Engineer,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs/Data Center Planning
DEPT OF INFO TECH & TELECOMM,Edge Security Engineer,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs/Data Center Planning
DEPT OF INFO TECH & TELECOMM,Senior Exchange Engineer,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs/IT Systems
CONSUMER AFFAIRS,Inspector,INSPECTOR (CONSUMER AFFAIRS),01,Manhattan/SI Enforcement
DEPARTMENT OF CORRECTION,Deputy Director - Investigations,ADMINISTRATIVE STAFF ANALYST (,M4,Investigation Division
DEPARTMENT OF CORRECTION,Deputy Director - Investigations,ADMINISTRATIVE STAFF ANALYST (,M4,Investigation Division
TAX COMMISSION,CITY ASSESSOR,"CITY ASSESSOR (I,II,IIIA,IIIB)",3B,Civ Serv & Prov Employees
DEPT OF INFO TECH & TELECOMM,Senior Exchange Engineer,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs/IT Systems
NYC HOUSING AUTHORITY,Deputy Director for Local Law 11,ADMINISTRATIVE INSPECTOR (HOUS,M3,Office Of Design
NYC HOUSING AUTHORITY,Deputy Director for Local Law 11,ADMINISTRATIVE INSPECTOR (HOUS,M3,Office Of Design
NYC HOUSING AUTHORITY,Deputy Director for Construction Safety and Training,ADMINISTRATIVE INSPECTOR (HOUS,M3,CP Quality Assurance
TAX COMMISSION,CITY ASSESSOR,"CITY ASSESSOR (I,II,IIIA,IIIB)",3B,Civ Serv & Prov Employees
TAXI & LIMOUSINE COMMISSION,TLC Inspector S&E,TAXI AND LIMOUSINE INSPECTOR,00,Motor Vehicle Inspectors
TAXI & LIMOUSINE COMMISSION,TLC Inspector S&E,TAXI AND LIMOUSINE INSPECTOR,00,Motor Vehicle Inspectors
DEPARTMENT OF BUILDINGS,Electrical Advisory Board Plan Examiner,PLAN EXAMINER (BLDGS),00,Development Inspections
DEPT OF HEALTH/MENTAL HYGIENE,Mortality Surveillance Analyst,CITY RESEARCH SCIENTIST,03,EPI Division Admin
DEPT OF HEALTH/MENTAL HYGIENE,Mortality Surveillance Analyst,CITY RESEARCH SCIENTIST,03,EPI Division Admin
DEPT OF HEALTH/MENTAL HYGIENE,Emergency Planner,ADMINISTRATIVE STAFF ANALYST (,00,Agency Preparedness & Response
DEPT OF HEALTH/MENTAL HYGIENE,Emergency Planner,ADMINISTRATIVE STAFF ANALYST (,00,Agency Preparedness & Response
DEPARTMENT OF BUILDINGS,Electrical Advisory Board Plan Examiner,PLAN EXAMINER (BLDGS),00,Development Inspections
NYC HOUSING AUTHORITY,Senior Estimator (General Construction),SENIOR ESTIMATOR (GENERAL CONS,00,Capital Projects Tech Support
NYC HOUSING AUTHORITY,Senior Estimator (General Construction),SENIOR ESTIMATOR (GENERAL CONS,00,Capital Projects Tech Support
DEPT OF PARKS & RECREATION,Forest Restoration Crew Leader,GARDENER,02,Deputy Comm of Operations
DEPT OF DESIGN & CONSTRUCTION,Agency Chief Contracting Officer,AGENCY CHIEF CONTRACTING OFFIC,M4,Agency Chief Contracting off
DEPT OF DESIGN & CONSTRUCTION,Agency Chief Contracting Officer,AGENCY CHIEF CONTRACTING OFFIC,M4,Agency Chief Contracting off
DEPARTMENT OF BUILDINGS,Multi-Discipline Inspector,INSPECTOR (MULTI-DISCIPLINE),01,Citywide
DEPARTMENT OF BUILDINGS,Multi-Discipline Inspector,INSPECTOR (MULTI-DISCIPLINE),01,Citywide
NYC HOUSING AUTHORITY,Senior Estimator (Mechanical),SENIOR ESTIMATOR (MECHANICAL),00,Capital Projects Tech Support
NYC HOUSING AUTHORITY,Senior Estimator (Mechanical),SENIOR ESTIMATOR (MECHANICAL),00,Capital Projects Tech Support
CONSUMER AFFAIRS,Administrative Law Judge,AGENCY ATTORNEY,03,Adjudication
CONSUMER AFFAIRS,Administrative Law Judge,AGENCY ATTORNEY,03,Adjudication
CONSUMER AFFAIRS,Compliance Support Associate,COMMUNITY ASSOCIATE,00,Regulatory Compliance Division
DEPT OF INFO TECH & TELECOMM,Senior Application Developer,COMPUTER SPECIALIST (SOFTWARE),04,Enterprise APP Services
DEPT OF INFO TECH & TELECOMM,Senior Application Developer,COMPUTER SPECIALIST (SOFTWARE),04,Enterprise APP Services
NYC HOUSING AUTHORITY,PLASTERER,PLASTERER,00,"Maint, Repair & Skilled Trades"
NYC HOUSING AUTHORITY,PLASTERER,PLASTERER,00,"Maint, Repair & Skilled Trades"
CONSUMER AFFAIRS,Compliance Support Associate,COMMUNITY ASSOCIATE,00,Regulatory Compliance Division
NYC HOUSING AUTHORITY,Structural Engineer L-2,CIVIL ENGINEER,02,Office Of Design
NYC HOUSING AUTHORITY,Structural Engineer L-2,CIVIL ENGINEER,02,Office Of Design
DEPT OF HEALTH/MENTAL HYGIENE,CLINICAL QUALITY SPECIALIST,ADMINISTRATIVE STAFF ANALYST (,00,HCAI IT Initiatives
DEPT OF HEALTH/MENTAL HYGIENE,CLINICAL QUALITY SPECIALIST,ADMINISTRATIVE STAFF ANALYST (,00,HCAI IT Initiatives
DEPT OF HEALTH/MENTAL HYGIENE,Data Analyst,CITY RESEARCH SCIENTIST,02,Early Intervention
DEPT OF INFO TECH & TELECOMM,VoIP Administrator,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,VoIP Administrator,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,McAfee Systems Engineer,COMPUTER SPECIALIST (SOFTWARE),03,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,McAfee Systems Engineer,COMPUTER SPECIALIST (SOFTWARE),03,IT Svcs Delivery
DEPT OF HEALTH/MENTAL HYGIENE,Data Analyst,CITY RESEARCH SCIENTIST,02,Early Intervention
DEPT OF HEALTH/MENTAL HYGIENE,Program Analyst,CITY RESEARCH SCIENTIST,01,Planning and Program Analysis
DEPT OF HEALTH/MENTAL HYGIENE,Program Analyst,CITY RESEARCH SCIENTIST,01,Planning and Program Analysis
DEPT OF INFO TECH & TELECOMM,Netbackup Administrator,COMPUTER SPECIALIST (SOFTWARE),03,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Netbackup Administrator,COMPUTER SPECIALIST (SOFTWARE),03,IT Svcs Delivery
DEPT OF HEALTH/MENTAL HYGIENE,Assistant Brad H QA Nurse,JUNIOR PUBLIC HEALTH NURSE,00,CHS Medical
DEPT OF HEALTH/MENTAL HYGIENE,Assistant Brad H QA Nurse,JUNIOR PUBLIC HEALTH NURSE,00,CHS Medical
DEPT OF HEALTH/MENTAL HYGIENE,Data Analyst,CITY RESEARCH SCIENTIST,02,Immunization Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,Environmental Health Scientist,CITY RESEARCH SCIENTIST,02,Emerg. Preparedness & Response
DEPT OF HEALTH/MENTAL HYGIENE,Environmental Health Scientist,CITY RESEARCH SCIENTIST,02,Emerg. Preparedness & Response
DEPT OF ENVIRONMENT PROTECTION,Clean Water and Sewer Systems Modeler,ASSOCIATE PROJECT MANAGER,03,WSO-Excecutive Support Divisio
DEPT OF ENVIRONMENT PROTECTION,Clean Water and Sewer Systems Modeler,ASSOCIATE PROJECT MANAGER,03,WSO-Excecutive Support Divisio
DEPT OF ENVIRONMENT PROTECTION,Associate Water Use Inspector I,ASSOCIATE WATER USE INSPECTOR,01,Dept of Environment Protection
DEPT OF HEALTH/MENTAL HYGIENE,Data Analyst,CITY RESEARCH SCIENTIST,02,Immunization Surveillance
NYC HOUSING AUTHORITY,Quality Assurance Inspector,CONSTRUCTION PROJECT MANAGER,03,Capital Projects Tech Support
NYC HOUSING AUTHORITY,Quality Assurance Inspector,CONSTRUCTION PROJECT MANAGER,03,Capital Projects Tech Support
DEPT OF HEALTH/MENTAL HYGIENE,Lab Microbiologist,LABORATORY MICROBIOLOGIST,02,Microbiology
DEPT OF ENVIRONMENT PROTECTION,Associate Water Use Inspector I,ASSOCIATE WATER USE INSPECTOR,01,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Associate Water Use Inspector II,ASSOCIATE WATER USE INSPECTOR,02,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Associate Water Use Inspector II,ASSOCIATE WATER USE INSPECTOR,02,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Industrial Hygienist I,INDUSTRIAL HYGIENIST,01,Stn (6) Ctrl Opr Ctr - Plt O
DEPT OF ENVIRONMENT PROTECTION,Industrial Hygienist I,INDUSTRIAL HYGIENIST,01,Stn (6) Ctrl Opr Ctr - Plt O
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Nurse, (School Health)",PUBLIC HEALTH NURSE,03,SH Administration
DEPT OF HEALTH/MENTAL HYGIENE,Lab Microbiologist,LABORATORY MICROBIOLOGIST,02,Microbiology
ADMIN TRIALS AND HEARINGS,Customer Service Clerk,COMMUNITY ASSISTANT,00,Taxi Tribunal-Queens
ADMIN TRIALS AND HEARINGS,Customer Service Clerk,COMMUNITY ASSISTANT,00,Taxi Tribunal-Queens
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Nurse, (School Health)",PUBLIC HEALTH NURSE,03,SH Administration
DEPT OF HEALTH/MENTAL HYGIENE,Senior Medical Director,AGENCY MEDICAL DIRECTOR,M3,Healthcare System Readiness
DEPT OF HEALTH/MENTAL HYGIENE,Senior Medical Director,AGENCY MEDICAL DIRECTOR,M3,Healthcare System Readiness
DEPT OF HEALTH/MENTAL HYGIENE,Senior Auditor,ADMINISTRATIVE MANAGEMENT AUDI,M1,Fiscal Audits
DEPARTMENT OF TRANSPORTATION,A/C for Intergovernmental and Community Affairs,ADMINISTRATIVE STAFF ANALYST (,M4,Office of the Commissioner
DEPARTMENT OF TRANSPORTATION,A/C for Intergovernmental and Community Affairs,ADMINISTRATIVE STAFF ANALYST (,M4,Office of the Commissioner
DEPT OF DESIGN & CONSTRUCTION,Program Director,ADMINISTRATIVE PROJECT MANAGER,M2,Pub Bldgs/Various
DEPT OF HEALTH/MENTAL HYGIENE,Senior Auditor,ADMINISTRATIVE MANAGEMENT AUDI,M1,Fiscal Audits
DEPT OF ENVIRONMENT PROTECTION,Policy Analyst/Advisor,STAFF ANALYST TRAINEE,00,Executive Management
DEPT OF ENVIRONMENT PROTECTION,Policy Analyst/Advisor,STAFF ANALYST TRAINEE,00,Executive Management
